Publication Number,Chemical Name,Depositor Chemical Name,DTXSID,CASRN,Species,Strain,Study Number,MALE_RATS_TR_RESULT,FEMALE_RATS_TR_RESULT,MALE_MICE_TR_RESULT,FEMALE_MICE_TR_RESULT,MALE_HAMSTERS_TR_RESULT,FEMALE_HAMSTERS_TR_RESULT,MALE_FISH_TR_RESULT,FEMALE_FISH_TR_RESULT,MALE_RATS_ADRENAL_GLAND_CORTEX,FEMALE_RATS_ADRENAL_GLAND_CORTEX,FEMALE_MICE_ADRENAL_GLAND_CORTEX,MALE_RATS_ADRENAL_GLAND_MEDULLA,FEMALE_RATS_ADRENAL_GLAND_MEDULLA,MALE_MICE_ADRENAL_GLAND_MEDULLA,FEMALE_MICE_ADRENAL_GLAND_MEDULLA,MALE_RATS_ALL_ORGANS,FEMALE_RATS_ALL_ORGANS,MALE_MICE_ALL_ORGANS,FEMALE_MICE_ALL_ORGANS,MALE_RATS_BONE,MALE_RATS_BRAIN,FEMALE_RATS_BRAIN,MALE_MICE_BRAIN,FEMALE_MICE_BRAIN,FEMALE_RATS_CLITORAL_GLAND,MALE_RATS_EPIDIDYMIS,MALE_MICE_EPIDIDYMIS,MALE_RATS_EPIDIDYMIS_OR_TESTIS,MALE_RATS_ESOPHAGUS,FEMALE_RATS_ESOPHAGUS,MALE_MICE_ESOPHAGUS,FEMALE_MICE_ESOPHAGUS,MALE_RATS_FORESTOMACH,FEMALE_RATS_FORESTOMACH,MALE_MICE_FORESTOMACH,FEMALE_MICE_FORESTOMACH,MALE_RATS_GLANDULAR_STOMACH,FEMALE_RATS_GLANDULAR_STOMACH,MALE_MICE_GLANDULAR_STOMACH,MALE_MICE_HARDERIAN_GLAND,FEMALE_MICE_HARDERIAN_GLAND,MALE_RATS_HEART,FEMALE_RATS_HEART,MALE_MICE_HEART,FEMALE_MICE_HEART,MALE_RATS_HEMATOPOIETIC_SYSTEM,FEMALE_RATS_HEMATOPOIETIC_SYSTEM,MALE_MICE_HEMATOPOIETIC_SYSTEM,FEMALE_MICE_HEMATOPOIETIC_SYSTEM,MALE_RATS_INTESTINES_LARGE,FEMALE_RATS_INTESTINES_LARGE,MALE_MICE_INTESTINES_LARGE,FEMALE_MICE_INTESTINES_LARGE,MALE_RATS_INTESTINES_SMALL,FEMALE_RATS_INTESTINES_SMALL,MALE_MICE_INTESTINES_SMALL,FEMALE_MICE_INTESTINES_SMALL,MALE_RATS_KIDNEY,MALE_MICE_KIDNEY,FEMALE_RATS_KIDNEY_MESENCHYMAL_CELL,MALE_RATS_KIDNEY_TRANSITIONAL_CELL,FEMALE_RATS_KIDNEY_TRANSITIONAL_CELL,MALE_RATS_KIDNEY_TUBULAR_CELL,FEMALE_RATS_KIDNEY_TUBULAR_CELL,MALE_MICE_KIDNEY_TUBULAR_CELL,FEMALE_MICE_KIDNEY_TUBULAR_CELL,MALE_RATS_LIVER,FEMALE_RATS_LIVER,MALE_MICE_LIVER,FEMALE_MICE_LIVER,MALE_FISH_LIVER,FEMALE_FISH_LIVER,MALE_RATS_LUNG,FEMALE_RATS_LUNG,MALE_MICE_LUNG,FEMALE_MICE_LUNG,MALE_RATS_MAMMARY_GLAND,FEMALE_RATS_MAMMARY_GLAND,FEMALE_MICE_MAMMARY_GLAND,MALE_RATS_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,FEMALE_RATS_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,MALE_MICE_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,FEMALE_MICE_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,MALE_RATS_NASAL_CAVITY,FEMALE_RATS_NASAL_CAVITY,MALE_MICE_NASAL_CAVITY,FEMALE_MICE_NASAL_CAVITY,MALE_RATS_ORAL_CAVITY,FEMALE_RATS_ORAL_CAVITY,MALE_MICE_ORAL_CAVITY,FEMALE_MICE_ORAL_CAVITY,FEMALE_MICE_OVARY,MALE_RATS_PANCREAS_ACINAR_CELL,FEMALE_RATS_PANCREAS_ACINAR_CELL,MALE_RATS_PANCREAS_ISLET_CELL,FEMALE_RATS_PANCREAS_ISLET_CELL,MALE_MICE_PANCREAS_ISLET_CELL,FEMALE_MICE_PANCREAS_ISLET_CELL,MALE_RATS_PARATHYROID_GLAND,MALE_RATS_PITUITARY_GLAND,FEMALE_RATS_PITUITARY_GLAND,MALE_MICE_PITUITARY_GLAND,FEMALE_MICE_PITUITARY_GLAND,MALE_RATS_PREPUTIAL_GLAND,MALE_MICE_PREPUTIAL_GLAND,MALE_RATS_PROSTATE_GLAND,MALE_RATS_SEMINAL_VESICLE,MALE_MICE_SEMINAL_VESICLE,MALE_RATS_SKIN,FEMALE_RATS_SKIN,MALE_MICE_SKIN,FEMALE_MICE_SKIN,MALE_RATS_SPLEEN,FEMALE_RATS_SPLEEN,MALE_MICE_SPLEEN,FEMALE_MICE_SPLEEN,MALE_RATS_SUBCUTANEOUS_TISSUE,FEMALE_RATS_SUBCUTANEOUS_TISSUE,MALE_MICE_SUBCUTANEOUS_TISSUE,FEMALE_MICE_SUBCUTANEOUS_TISSUE,MALE_RATS_TESTIS,MALE_RATS_THORACIC_CAVITY,MALE_RATS_THYMUS,MALE_RATS_THYROID_GLAND,FEMALE_RATS_THYROID_GLAND,MALE_RATS_THYROID_GLAND_CCELL,FEMALE_RATS_THYROID_GLAND_CCELL,FEMALE_MICE_THYROID_GLAND_CCELL,MALE_RATS_THYROID_GLAND_FOLLICULAR_CELL,FEMALE_RATS_THYROID_GLAND_FOLLICULAR_CELL,MALE_MICE_THYROID_GLAND_FOLLICULAR_CELL,FEMALE_MICE_THYROID_GLAND_FOLLICULAR_CELL,MALE_RATS_URETER,FEMALE_RATS_URETER,MALE_MICE_URETER,FEMALE_MICE_URETER,MALE_RATS_URINARY_BLADDER,FEMALE_RATS_URINARY_BLADDER,MALE_MICE_URINARY_BLADDER,FEMALE_MICE_URINARY_BLADDER,MALE_MICE_URINARY_SYSTEM,FEMALE_MICE_URINARY_SYSTEM,FEMALE_RATS_UTERUS,FEMALE_MICE_UTERUS,FEMALE_RATS_UTERUSCERVIX,FEMALE_MICE_UTERUSCERVIX,FEMALE_MICE_VAGINA,MALE_MICE_VASCULAR_SYSTEM_HEART,FEMALE_MICE_VASCULAR_SYSTEM_HEART,FEMALE_RATS_VASCULAR_SYSTEM_LIVER,MALE_MICE_VASCULAR_SYSTEM_LIVER,FEMALE_MICE_VASCULAR_SYSTEM_LIVER,MALE_MICE_VASCULAR_SYSTEM_NASAL_CAVITY,FEMALE_MICE_VASCULAR_SYSTEM_NASAL_CAVITY,MALE_RATS_VASCULAR_SYSTEM_SPLEEN,MALE_MICE_VASCULAR_SYSTEM_SPLEEN,FEMALE_MICE_VASCULAR_SYSTEM_SPLEEN,MALE_RATS_VASCULAR_SYSTEM_UNSPECIFIED,FEMALE_RATS_VASCULAR_SYSTEM_UNSPECIFIED,MALE_MICE_VASCULAR_SYSTEM_UNSPECIFIED,FEMALE_MICE_VASCULAR_SYSTEM_UNSPECIFIED,MALE_RATS_ZYMBAL_GLAND,FEMALE_RATS_ZYMBAL_GLAND,MALE_MICE_ZYMBAL_GLAND,FEMALE_MICE_ZYMBAL_GLAND
TR-520,"3,3,4,4,5-Pentachlorobiphenyl","Toxic equivalency factor evaluation ((PCB 126) 3,3',4,4',5-pentachlorobiphenyl)",DTXSID3032179,57465-28-8,Rats,Harlan Sprague-Dawley,C96007D,,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~GINGIVAL SQUAMOUS CELL CARINOMA (ORAL MUCOSA) 0/53 1/55 1/53 1/53 2/53 2/53 7/53 2/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-548,Ethinyl estradiol,Endocrine disruptor (Ethinyl estradiol),DTXSID5020576,57-63-6,Rats,Harlan Sprague-Dawley,C20721B,,Equivocal Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May Have Been Related~stromal polyp (2/51, 5/50, 6/50, 7/50)",,,,,,,,,,,,,,,,,,,,,,
TR-548,Ethinyl estradiol,Endocrine disruptor (Ethinyl estradiol),DTXSID5020576,57-63-6,Rats,Harlan Sprague-Dawley,C20721C,Equivocal Evidence,Equivocal Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May Have Been Related~adenoma or adenocarcinoma (0/42, 0/42, 0/40, 3/45)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-548,Ethinyl estradiol,Endocrine disruptor (Ethinyl estradiol),DTXSID5020576,57-63-6,Rats,Harlan Sprague-Dawley,C20721C,Equivocal Evidence,Equivocal Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May Have Been Related~epithelial neoplasms (2/49, 4/49, 4/50, 8/49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-548,Ethinyl estradiol,Endocrine disruptor (Ethinyl estradiol),DTXSID5020576,57-63-6,Rats,Harlan Sprague-Dawley,C20721C,Equivocal Evidence,Equivocal Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May Have Been Related~stromal polyp (1/52,7/50, 2/50, 5/50)",,,,,,,,,,,,,,,,,,,,,,
TR-198,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",DTXSID0023824,57653-85-7,Mice,B6C3F1,C03703A,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~(ADENOMA, CARCINOMA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-198,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",DTXSID0023824,57653-85-7,Mice,B6C3F1,C03703A,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~(ADENOMA, CARCINOMA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-202,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",DTXSID0023824,57653-85-7,Mice,Swiss Webster,C03703B,,,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-198,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",DTXSID0023824,57653-85-7,Rats,Osborne Mendel,C03703A,Equivocal,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~(NEOPLASTIC NODULE OR CARCINOMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-198,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",DTXSID0023824,57653-85-7,Rats,Osborne Mendel,C03703A,Equivocal,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~(NEOPLASTIC NODULE, CARCINOMA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-395,Probenecid,Probenecid,DTXSID9021188,57-66-9,Mice,B6C3F1,C56097,,,No Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~ADENOMA 3/48 2/49 14/49, CARCINOMA 2/48 2/49 3/49, COMBINED 5/48 3/49 16/49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-395,Probenecid,Probenecid,DTXSID9021188,57-66-9,Rats,F344/N,C56097,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-008,Chlordane (analytical grade),Chlordane (analytical grade),DTXSID7020267,57-74-9,Mice,B6C3F1,C00099,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~(CARCINOMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-008,Chlordane (analytical grade),Chlordane (analytical grade),DTXSID7020267,57-74-9,Mice,B6C3F1,C00099,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~(CARCINOMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-008,Chlordane (analytical grade),Chlordane (analytical grade),DTXSID7020267,57-74-9,Rats,Osborne Mendel,C00099,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-077,Pyrimethamine,Pyrimethamine,DTXSID9021217,58-14-0,Mice,B6C3F1,C01683,,,Inadequate Study,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-077,Pyrimethamine,Pyrimethamine,DTXSID9021217,58-14-0,Rats,F344/N,C01683,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-425,Promethazine hydrochloride,Promethazine hydrochloride,DTXSID3021192,58-33-3,Mice,B6C3F1,C60673B,,,No Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-014,Lindane,Lindane,DTXSID2020686,58-89-9,Mice,B6C3F1,C00204,,,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-014,Lindane,Lindane,DTXSID2020686,58-89-9,Rats,Osborne Mendel,C00204,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-357,Hydrochlorothiazide,Hydrochlorothiazide,DTXSID2020713,58-93-5,Mice,B6C3F1,C55925,,,Equivocal Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 3/48 8/49 14/50 OR CARCINOMA 4/48 4/49 9/50 COMBINED 7/48 10/49 21/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-298,Dimethyl morpholinophosphoramidate,Dimethyl morpholinophosphoramidate,DTXSID5020495,597-25-1,Mice,B6C3F1,C54740,,,No Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-298,Dimethyl morpholinophosphoramidate,Dimethyl morpholinophosphoramidate,DTXSID5020495,597-25-1,Rats,F344/N,C54740,Some Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~LEUKEMIA 14/50 21/50 19/50 25/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-298,Dimethyl morpholinophosphoramidate,Dimethyl morpholinophosphoramidate,DTXSID5020495,597-25-1,Rats,F344/N,C54740,Some Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~LEUKEMIA 9/50 13/50 12/49 18/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-419,HC Yellow 4,HC Yellow 4,DTXSID6021458,59820-43-8,Rats,F344/N,C56019,Equivocal Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 17/45 20/49 28/49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-328,Methyl carbamate,Methyl carbamate,DTXSID8020834,598-55-0,Rats,F344/N,C55594,Clear Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~NEOPLASTIC NODULE 3/50 0/50 3/49; CARCINOMA 1/50 0/50 4/49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-328,Methyl carbamate,Methyl carbamate,DTXSID8020834,598-55-0,Rats,F344/N,C55594,Clear Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~NEOPLASTIC NODULE 0/50 0/50 5/49; CARCINOMA 0/50 0/50 1/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-337,Nitrofurazone,Nitrofurazone,DTXSID5020944,59-87-0,Mice,B6C3F1,C56064,,,No Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~GRANULOSA CELL TUMOR 1/47 4/50 9/50; BENIGN MIXED TUMORS 0/47 17/50 20/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-337,Nitrofurazone,Nitrofurazone,DTXSID5020944,59-87-0,Rats,F344/N,C56064,Equivocal Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~FIBROADENOMA 8/49 36/50 36/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-337,Nitrofurazone,Nitrofurazone,DTXSID5020944,59-87-0,Rats,F344/N,C56064,Equivocal Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~MESOTHELIOMA 0/50 7/50 2/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-337,Nitrofurazone,Nitrofurazone,DTXSID5020944,59-87-0,Rats,F344/N,C56064,Equivocal Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 8/50 8/50 2/50 OR CARCINOMA 1/50 8/50 5/50 COMBINED 9/50 16/50 7/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-337,Nitrofurazone,Nitrofurazone,DTXSID5020944,59-87-0,Rats,F344/N,C56064,Equivocal Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~SEBACEOUS GLAND ADENOMA 0/50 0/50 4/50; TRICHOEPITHELIOMA 0/50 0/50 1/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-347,D-Limonene,D-Limonene,DTXSID1020778,5989-27-5,Mice,B6C3F1,C55572,,,No Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-347,D-Limonene,D-Limonene,DTXSID1020778,5989-27-5,Rats,F344/N,C55572,Clear Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 0/50 4/50 8/50 OR ADENOCARCINOMA 0/50 4/50 3/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-457,Salicylazosulfapyridine,Salicylazosulfapyridine,DTXSID0021256,599-79-1,Mice,B6C3F1,C61552B,,,Clear Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 13/50 32/50 28/50 42/50 OR CARCINOMA 13/50 15/50 23/50 8/50 COMBINED 24/50 38/50 38/50 44/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-457,Salicylazosulfapyridine,Salicylazosulfapyridine,DTXSID0021256,599-79-1,Mice,B6C3F1,C61552B,,,Clear Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 12/50 28/50 25/50 28/49 OR CARCINOMA 2/50 10/50 10/50 9/49 COMBINED 14/50 32/50 28/50 29/49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-457,Salicylazosulfapyridine,Salicylazosulfapyridine,DTXSID0021256,599-79-1,Rats,F344/N,C61552B,Some Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~PAPILLOMA 0/50 0/50 0/50 2/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
