CEBS_PubNumber,CEBS_TestArticleName,CEBS_DTXSID,CEBS_CASRN,CEBS_AMES_CONCLUSION,CEBS_MALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_MALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_IN_VITRO_MN_CONCLUSION,CEBS_MALE_RAT_COMET,CEBS_FEMALE_RAT_COMET,CEBS_MALE_MOUSE_COMET,CEBS_FEMALE_MOUSE_COMET
,Diethylene glycol monobutyl ether,DTXSID8021519,112-34-5,Negative,,,,,,,,,
,Diethylene glycol diethyl ether,DTXSID3025047,112-36-7,Negative,,,,,,,,,
,N-Butylpyridinium Chloride,DTXSID1031462,1124-64-7,Negative,Equivocal,Negative,Negative,Negative,,,,,
,Triethylene glycol dimethyl ether,DTXSID8026224,112-49-2,Positive,,,,,,,,,
,Lauryl chloride,DTXSID0025492,112-52-7,Negative,,,,,,,,,
,n-Dodecylmercaptan,DTXSID6025220,112-55-0,Negative,,,,,,,,,
,2-(2-Butoxyethoxy)ethyl thiocyanate,DTXSID6024674,112-56-1,Negative,,,,,,,,,
,Tetraethylenepentamine,DTXSID7026108,112-57-2,Positive,,,,,,,,,
,cis-Methyl oleic acid ester,DTXSID5025811,112-62-9,Negative,,,,,,,,,
,Diethylene glycol dibutyl ether,DTXSID8025046,112-73-2,Negative,,,,,,,,,
,Oleic acid,DTXSID1025809,112-80-1,Negative,,,,,,,,,
,Eicosane,DTXSID1025227,112-95-8,Negative,,,,,,,,,
,Cyclanilide,DTXSID5032600,113136-77-9,,,,,,,Negative,,,
TR-317,Chlorpheniramine maleate,DTXSID4020321,113-92-8,Negative,Negative,,Negative,,,,,,
,Anthralin,DTXSID7024538,1143-38-0,Negative,,,,,,,,,
,1-Acetyl-2-phenyl hydrazide,DTXSID1020015,114-83-0,Positive,,,,,,,,,
TR-272,Propylene,DTXSID5021205,115-07-1,Positive,,,,,,,,,
,Methyl mercuric chloride,DTXSID5020813,115-09-3,Negative,,,,,,,,,
TR-487,Isobutene,DTXSID9020748,115-11-7,Negative,,,Negative,Negative,,,,,
TR-304,Chlorendic acid,DTXSID2020268,115-28-6,Negative,,,,,,,,,
TR-062,Endosulfan,DTXSID1020560,115-29-7,Negative,,,,,,,,,
TR-090,Dicofol,DTXSID4020450,115-32-2,Negative,,,,,,,,,
TR-051,Tolazamide,DTXSID3021358,1156-19-0,Equivocal,,,,,,,,,
,Triphenyl Phosphate,DTXSID1021952,115-86-6,Negative,,,,,,,,,
TR-391,Tris(2-Chloroethyl) Phosphate,DTXSID5021411,115-96-8,Negative,,,,,,,,,
TR-136,Aldicarb,DTXSID0039223,116-06-3,Negative,,,,,,,,,
TR-450,Tetrafluoroethylene,DTXSID6021325,116-14-3,,,,Negative,Negative,,,,,
,Aflatoxin-B1,DTXSID9020035,1162-65-8,Positive,,,,,,,,,
,Retinal,DTXSID5025998,116-31-4,Positive,,,,,,,,,
TR-309,Decabromodiphenyl Ether,DTXSID9020376,1163-19-5,Negative,Positive,,,,,,,,
,Vat blue 20,DTXSID7026281,116-71-2,Weakly Positive,,,,,,,,,
,Tetrachlorophthalic anhydride,DTXSID7026102,117-08-8,Negative; Negative,,,,,,,,,
,Danthron,DTXSID9020328,117-10-2,Weakly Positive,Negative,,Negative,Negative,,,,,
,"2,3,5,6-Tetrachloronitrobenzene",DTXSID0026098,117-18-0,Weakly Positive; Weakly Positive,,,,,,,,,
,Flurazepam dihydrochloride,DTXSID3025334,1172-18-5,Negative,,,,,,,,,
TR-409,Quercetin,DTXSID4021218,117-39-5,Positive,,,,,,,,,
,Tetraphenoxysilane,DTXSID0026129,1174-72-7,Negative,,,,,,,,,
,"Benzidine, 2,2'-disulfonic acid",DTXSID3024572,117-61-3,Negative,,,,,,,,,
TR-144,2-Aminoanthraquinone,DTXSID6020068,117-79-3,Positive,,,,,,,,,
TR-217,Di(2-ethylhexyl) Phthalate,DTXSID5020607,117-81-7,Negative; Negative; Negative; Negative; Negative; Negative,,,Negative; Equivocal,Positive; Negative; Equivocal,,Negative,,,
,Di(2-methoxyethyl)phthalate,DTXSID8025094,117-82-8,Positive,,,,,,,,,
,Dioctyl phthalate,DTXSID5020607,117-84-0,Negative,,,,,,,,,
,Hydrastine,DTXSID9025409,118-08-1,Negative,,,,,,,,,
,Methyl mercury hydroxide,DTXSID3025621,1184-57-2,Negative,,,,,,,,,
,"1,3-Dichloro-5,5-dimethylhydantoin",DTXSID4024985,118-52-5,Negative,,,,,,,,,
,Phenyl salicylate,DTXSID6021957,118-55-8,Negative; Equivocal,,,,,,,,,
,"3,3,5-Trimethylcyclohexyl salicylate",DTXSID1026241,118-56-9,Negative,,,,,,,,,
,Benzyl salicylate,DTXSID1024598,118-58-1,Negative; Negative,,,,,,,,,
,Dibutyltin-bis(laurylmercaptide),DTXSID2024959,1185-81-5,Negative,,,,,,,,,
,Maltol,DTXSID0025523,118-71-8,Weakly Positive,,,,,,,,,
,Hexachlorobenzene,DTXSID2020682,118-74-1,Negative,,,,,,,,,
,Diaminomaleonitrile,DTXSID0024923,1187-42-4,Negative,,,,,,,,,
,Chloranil,DTXSID2020266,118-75-2,Positive,,,,,,,,,
,"2,4,6-Tribromophenol",DTXSID6021959,118-79-6,Negative,,,,,,,,,
,o-Toluic acid,DTXSID6026161,118-90-1,Negative,,,,,,,,,
,o-Chlorobenzoic acid,DTXSID4024771,118-91-2,Negative,,,,,,,,,
TR-036,o-Anthranilic acid,DTXSID8020094,118-92-3,Negative,,,,,,,,,
,Ditridecyl phthalate,DTXSID2025214,119-06-2,Negative,,,,,,,,,
,Ethyl linolenate,DTXSID6025307,1191-41-9,Weakly Positive,,,,,,,,,
,"4-(2,4-Dinitroanilino)phenol",DTXSID4025161,119-15-3,Positive,,,,,,,,,
,Tebufenpyrad,DTXSID0034223,119168-77-3,,,,,,,Negative,,,
,4-Methyl-3-nitroaniline,DTXSID7025633,119-32-4,Positive,,,,,,,,,
,6-Hydroxy-4(1H)-pyrimidinone,DTXSID6025434,1193-24-4,Negative,,,,,,,,,
TR-094,4-Amino-2-nitrophenol,DTXSID6020064,119-34-6,Positive,,,,,,,,,
,Methyl salicylate,DTXSID5025659,119-36-8,Weakly Positive; Negative,,,,,,,,,
,1(2H)-Phthalazinone,DTXSID4025903,119-39-1,Negative,,,,,,,,,
TR-204,Benzoin,DTXSID1020144,119-53-9,Weakly Positive; Negative; Negative,,,Negative,,,,,,
,alpha-Fenchone,DTXSID9025324,1195-79-5,Negative,Equivocal,,,,,,,,
TR-533,Benzophenone,DTXSID0021961,119-61-9,Negative,,,Negative; Negative,Negative,,,,,
TR-561,Tetralin,DTXSID1026118,119-64-2,Negative; Negative,,,Negative,Negative,,,,,
,p-Cymen-8-ol,DTXSID0024890,1197-01-9,Negative,,,,,,,,,
,2-Nitrodiphenylamine,DTXSID4025749,119-75-5,Negative,,,,,,,,,
TR-423,"3,4-Dihydrocoumarin",DTXSID2020474,119-84-6,Negative,,,Negative,Negative,,,,,
,"3,3'-Dimethoxybenzidine",DTXSID3025091,119-90-4,Positive; Positive; Positive; Positive,,,,,,,,,
,"3,3'-Dimethylbenzidine",DTXSID5024059,119-93-7,Positive; Positive,,,,,,,,,
,Copper acetoarsenite,DTXSID0024846,12002-03-8,Negative; Equivocal,,,,,,,,,
,Gilsonite,DTXSID1025354,12002-43-6,Negative,,,,,,,,,
,Anthracene,DTXSID0023878,120-12-7,Weakly Positive; Weakly Positive,,,,,,,,,
,Veratraldehyde,DTXSID7026285,120-14-9,Negative; Negative,,,,,,,,,
"TR-424, TR-444",o-Benzyl-p-chlorophenol,DTXSID5020154,120-32-1,Negative; Negative,,,,,,,,,
TR-453,Nickel subsulfide,DTXSID2025711,12035-72-2,Equivocal,,,Negative,Negative,,,,,
,3-Ethylamino-4-methylphenol,DTXSID7025269,120-37-6,Positive,,,,,,,,,
TR-480,Lauric acid diethanolamine condensate,DTXSID5025491,120-40-1,Negative,,,Negative,Negative,,,,,
,Piperonal,DTXSID7025924,120-57-0,Positive; Negative,,,,,,,,,
TR-121,Dimethyl terephthalate,DTXSID0020498,120-61-6,Negative,,,Negative,,,,,,
TR-124,Piperonyl sulfoxide,DTXSID1021168,120-62-7,Negative; Negative,,,,,,,,,
,Acetyl-o-toluidine,DTXSID1024413,120-66-1,Positive,,,,,,,,,
TR-142,p-Cresidine,DTXSID1020350,120-71-8,Positive,,,Negative,,,,,,
,"2,2'-Dithiobis-benzothiazole",DTXSID1020146,120-78-5,Positive; Positive,,,,,,,,,
,Catechol,DTXSID3022322,120-80-9,Negative; Negative,,,Negative,,,,,,
,"1,2,4-Trichlorobenzene",DTXSID0021965,120-82-1,Negative,,,,,,,,,
TR-353,"2,4-Dichlorophenol",DTXSID1020439,120-83-2,Equivocal,,,,,,,,,
,bis(Cyclopentadienyl)vanadium chloride,DTXSID2024616,12083-48-6,Positive,,,,,,,,,
TR-054,"2,4-Dinitrotoluene",DTXSID0020529,121-14-2,Positive,,,,,,,,,
,"4-Chloro-3-nitro-a,a,a-trifluorotoluene",DTXSID2024799,121-17-5,Negative,,,,,,,,,
TR-345,Roxarsone,DTXSID9020956,121-19-7,Negative,,,,,,,,,
,Zineb,DTXSID5021465,12122-67-7,Negative,,,,,,,,,
TR-056,"N,N'-Dicyclohexylthiourea",DTXSID9020451,1212-29-9,Negative,,,,,,,,,
,Ethylvanillin,DTXSID5021968,121-32-4,Negative,,,Negative,,,,,,
,Vanillin,DTXSID0021969,121-33-5,Negative,,,Negative,,,,,,
,Ethyl 3-phenylglycidate,DTXSID8025886,121-39-1,Negative,,,,,,,,,
,Triethylamine,DTXSID3024366,121-44-8,Negative,,,Equivocal,Negative,,,,,
,3-Aminobenzenesulfonic acid,DTXSID6024462,121-47-1,Negative,,,,,,,,,
TR-438,Benzethonium chloride,DTXSID6023810,121-54-0,Negative,,,,,,,,,
,Cyprodinil,DTXSID1032359,121552-61-2,,,,,,,Negative,,,
,4-Aminobenzenesulfonic acid,DTXSID6024464,121-57-3,Negative,,,,,,,,,
,Carbarsone,DTXSID4020246,121-59-5,Negative,,,,,,,,,
TR-053,2-Amino-5-nitrothiazole,DTXSID6020066,121-66-4,Positive,,,,,,,,,
TR-360,"N,N-Dimethylaniline",DTXSID2020507,121-69-7,Negative,,,,,,,,,
,m-Chloronitrobenzene,DTXSID4021971,121-73-3,Equivocal,,,,,,,,,
"TR-024, TR-192",Malathion,DTXSID4020791,121-75-5,Negative,,,,,,,,,
TR-240,Propyl gallate,DTXSID5021201,121-79-9,Negative,,,Positive; Negative,,,,,,
TR-334,2-Amino-5-nitrophenol,DTXSID1020063,121-88-0,Positive,,,,,,,,,
,m-Nitroacetophenone,DTXSID1025722,121-89-1,Positive,,,,,,,,,
,m-Nitrobenzoyl chloride,DTXSID9025740,121-90-4,Positive,,,,,,,,,
,m-Nitrobenzoic acid,DTXSID0025737,121-92-6,Positive; Positive,,,Negative,Negative,,,,,
,p-Nitrobenzoyl chloride,DTXSID9025742,122-04-3,Positive,,,,,,,,,
,"N,N-Dimethyl-N-octadecylbenzenemethanaminium chloride",DTXSID2025139,122-19-0,Negative,,,,,,,,,
,Triisopropanolamine,DTXSID5021415,122-20-3,Negative,,,,,,,,,
,C.I. Pigment Red 81,DTXSID8025917,12224-98-5,Negative,,,,,,,,,
,C.I. Pigment Yellow 100,DTXSID2025921,12225-21-7,Negative,,,,,,,,,
,Simazine,DTXSID4021268,122-34-9,,,,,,,Negative,,,
,N-Phenylbenzenamine,DTXSID4021975,122-39-4,Negative,,,,,,,,,
,Methyl styryl ketone,DTXSID4025662,122-57-6,Positive,,,Negative,,,,,,
,Phenoxy acetic acid,DTXSID9025873,122-59-8,Negative,,,,,,,,,
,Phenyl glycidyl ether,DTXSID8021145,122-60-1,Positive,,,,,,,,,
,Di(2-ethylhexyl)sebacate,DTXSID7025055,122-62-3,Negative,,,,,,,,,
TR-092,Hydrazobenzene,DTXSID7020710,122-66-7,Positive,,,,,,,,,
,p-Amino acetanilide,DTXSID7024455,122-80-5,Positive,,,,,,,,,
,Methdilazine hydrochloride,DTXSID3025548,1229-35-2,Negative; Negative,,,,,,,,,
,Ethylene glycol monophenyl ether,DTXSID9021976,122-99-6,Negative,,,,,,,,,
,2-Ethylhexanal,DTXSID9025291,123-05-7,Negative,,,,,,,,,
,p-Anisaldehyde,DTXSID2026997,123-11-5,Negative,,,,,,,,,
,p-Aminophenol,DTXSID3024499,123-30-8,Negative; Negative; Negative,,,,,,,,,
TR-366,Hydroquinone,DTXSID7020716,123-31-9,Negative,,,Positive,,,,,,
,Maleic hydrazide,DTXSID9020792,123-33-1,Negative; Negative,,,,,,,,,
TR-557,beta-Myrcene,DTXSID6025692,123-35-3,Negative; Negative,,,Negative,Negative,,,,,
,Propionaldehyde,DTXSID2021658,123-38-6,Negative; Negative,,,,,,,,,
,N-Methylformamide,DTXSID0025608,123-39-7,Negative,,,,,,,,,
,Diacetone alcohol,DTXSID6024917,123-42-2,Negative; Negative,,,,,,,,,
,Acetylacetone,DTXSID4021979,123-54-6,Negative,,,Positive,,,,,Positive,
,Paraldehyde,DTXSID9023419,123-63-7,Positive,,,,,,,,,
,Ethyl hexanoate,DTXSID3021980,123-66-0,Negative,,,,,,,,,
,Butyraldehyde,DTXSID8021513,123-72-8,Negative; Negative; Negative,,,Negative,Negative,,,,,
,Azodicarbonamide,DTXSID0024553,123-77-3,Positive,,,,,,,,,
,n-Butyl acetate,DTXSID3021982,123-86-4,Negative,,,,,,,,,
,Methoxyethyl mercury chloride,DTXSID2025555,123-88-6,Negative,,,,,,,,,
TR-080,"1,4-Dioxane",DTXSID4020533,123-91-1,Negative; Negative; Negative,,,Negative; Equivocal,,,,,,
,Isoamyl acetate,DTXSID9025453,123-92-2,Negative,,,,,,,,,
,Thiodiglycolic acid,DTXSID1051432,123-93-3,Negative,,,,,,,,,
,Ethidium bromide,DTXSID8025258,1239-45-8,Positive,Negative,,Negative,,,,,,
,Diallylamine,DTXSID1024918,124-02-7,Negative,,,,,,,,,
,Adipic acid,DTXSID7021605,124-04-9,Negative,,,,,,,,,
,Octanoic acid,DTXSID3021645,124-07-2,Negative,,,,,,,,,
,"1,6-Hexanediamine",DTXSID5024922,124-09-4,Negative; Negative,,,,,,,,,
,Decane,DTXSID6024913,124-18-5,Negative; Equivocal,,,,,,,,,
,2-Ethylhexyl Diphenyl Phosphate,DTXSID1025300,1241-94-7,Negative,,,,,,,,,
,Nonanal,DTXSID9021639,124-19-6,Negative,,,,,,,,,
,Octadecylamine,DTXSID1025801,124-30-1,Negative,,,,,,,,,
,Dimethylamine,DTXSID5024057,124-40-3,Negative; Negative,,,,,,,,,
,Carbamide peroxide,DTXSID9024726,124-43-6,Positive,,,,,,,,,
TR-282,Chlorodibromomethane,DTXSID1020300,124-48-1,Weakly Positive; Negative,,,Negative,,,,,,
TR-296,Tetrakis(hydroxymethyl)phosphonium chloride,DTXSID5021330,124-64-1,Negative,,,Negative,,,,,,
,p-Xylenol blue,DTXSID8026303,125-31-5,Negative,,,,,,,,,
TR-476,Primidone (primaclone),DTXSID7023510,125-33-7,Positive,,,Negative; Negative,Negative,,,,,
,Black cohosh extract (BCE2),DTXSID401016810,1254019-22-1,Negative,,,,,,,,,
,Usnic acid,DTXSID0040123,125-46-2,Negative,,,,,,,,,
,Diphenolic acid,DTXSID0022436,126-00-1,Negative,,,Negative; Negative,,,,,,
,Carminic acid,DTXSID9022817,1260-17-9,Weakly Positive; Weakly Positive; Weakly Positive,,,Negative,,,,,,
,Griseofulvin,DTXSID8020674,126-07-8,Negative,,,,,,,,,
,Oxethazaine,DTXSID0025818,126-27-2,Negative,,,,,,,,,
,Sulfolane,DTXSID3027037,126-33-0,,Negative; Negative,Negative; Negative,Negative; Negative,Negative; Negative,,,,,
,Tributyl phosphate,DTXSID3021986,126-73-8,Negative; Negative,,,,,,,,,
,Sodium (2-ethylhexyl)alcohol sulfate,DTXSID1026033,126-92-1,Negative,,,,,,,,,
TR-497,Methacrylonitrile,DTXSID1024176,126-98-7,Negative; Negative,Negative,,Negative; Negative,Negative,,,,,
TR-467,Chloroprene,DTXSID5020316,126-99-8,Negative,,,Negative (Nonstandard Protocol); Negative,Negative; Negative; Negative; Negative,,,,,
TR-477,1-Chloro-2-propanol,DTXSID5020285,127-00-4,Positive; Positive; Positive,,,Negative; Negative,Negative; Negative,,,,,
,Acetoxime,DTXSID6020010,127-06-0,Negative,,,,,,,,,
,Hydroxyurea,DTXSID6025438,127-07-1,Negative,,,Positive,,,,,Positive; Negative,
TR-399,Titanocene dichloride,DTXSID3021354,1271-19-8,Positive,,,,,,,,,
,"Chromium, bis(eta(5)-2,4-cyclopentadien-1-yl)",DTXSID7024615,1271-24-5,Positive,,,,,,,,,
,Nickelocene,DTXSID8025709,1271-28-9,Negative,,,,,,,,,
"TR-013, TR-311",Tetrachloroethylene,DTXSID2021319,127-18-4,Negative,,,Negative,,,,,,
,"N,N-Dimethylacetamide",DTXSID5020499,127-19-5,Negative,,,,,,,,,
TR-138,Sulfisoxazole,DTXSID6021292,127-69-5,Negative,,,Negative,,,,,,
,Cobaltocene,DTXSID0024840,1277-43-6,Positive,,,,,,,,,
,Sodium arsenilate,DTXSID2026022,127-85-5,Negative,,,,,,,,,
,Chlordane (technical grade),DTXSID5023954,12789-03-6,Positive,,,,,,,,,
TR-150,Butylated hydroxytoluene,DTXSID2020216,128-37-0,Negative,,,Negative,,,,,,
,Sennoside B,DTXSID6051433,128-57-4,Negative,,,,,,,,,
TR-134,C.I. Vat Yellow 4,DTXSID6021454,128-66-5,Negative; Negative,,,,,,,,,
,Pyrene,DTXSID3024289,129-00-0,Positive,,,,,,,,,
,Zirconocene dichloride,DTXSID7026318,1291-32-3,Positive,,,,,,,,,
TR-029,2-Methyl-1-nitroanthraquinone,DTXSID7020847,129-15-7,Positive,,,,,,,,,
,Sulfan blue,DTXSID3026065,129-17-9,Positive,,,,,,,,,
,"bis(1,5-Cyclooctadiene) nickel",DTXSID2024614,1295-35-8,Positive,,,,,,,,,
,Nevirapine,DTXSID7031797,129618-40-2,Negative,,,,,,,,,
TR-527,Leucomalachite green,DTXSID7031531,129-73-7,,,,,Positive,,,,,
,"2,4,7-Trinitro-fluoren-9-one",DTXSID1026245,129-79-3,Positive,,,Negative,Negative,,,,,
TR-464,Sodium xylenesulfonate,DTXSID3026302,1300-72-7,Negative,,,,,,,,,
,Chromium carbonyl,DTXSID6024830,13007-92-6,Negative,,,Negative,,,,,,
,"2,4,a,a,a-Pentachlorotoluene",DTXSID3025839,13014-18-1,Positive,,,,,,,,,
,"a,a,a,3,4-Pentachlorotoluene",DTXSID2025840,13014-24-9,Positive,,,,,,,,,
,2-(4-Aminophenyl)-6-methyl-7-benzothiazole sulfonic acid,DTXSID0024501,130-17-6,Positive,,,Negative,Negative,,,,,
,Iodochlorohydroxyquinoline,DTXSID7022837,130-26-7,Negative,,,,,,,,,
TR-492,Gallium arsenide,DTXSID2023779,1303-00-0,Negative,,,Negative,Negative,,,,,
,"1,6-Hexamethylene diacrylate",DTXSID9025401,13048-33-4,Negative; Negative,,,,,,,,,
,Cadmium oxide,DTXSID0024715,1306-19-0,Negative,,,Negative,Negative,,,,,
,"o,o-Diethyl S-(((1,1-dimethylethyl)thio)methyl)phoshorodithioate",DTXSID2022254,13071-79-9,Negative,,,,,,,,,
,Lead dioxide,DTXSID5025497,1309-60-0,Negative,,,,,,,,,
TR-590,Antimony Trioxide,DTXSID4023880,1309-64-4,,Negative,Negative,Positive,Positive,,Negative,Negative,Positive,Positive
,Hexafluoroacetone sesquihydrate,DTXSID7025392,13098-39-0,Negative,,,,,,,,,
,Dimethyl phthalate,DTXSID3022455,131-11-3,Negative,Negative,,Negative,,,,,,
,"N'-methyl-N,N-diphenylurea",DTXSID8025593,13114-72-2,Negative,,,,,,,,,
"TR-242, TR-284",Diallyl phthalate,DTXSID7020392,131-17-9,Negative; Negative,,,Negative; Negative,,,,,,
TR-462,Molybdenum trioxide,DTXSID7020899,1313-27-5,Negative,,,,,,,,,
TR-451,Nickel (II) oxide,DTXSID7025710,1313-99-1,Negative,,,Negative,Negative,,,,,
,Tungsten trioxide,DTXSID7032262,1314-35-8,Negative,,,,,,,,,
TR-507,Vanadium pentoxide,DTXSID2023806,1314-62-1,Negative,,,Negative,Negative,,,,,
,Lead sulfide,DTXSID0025498,1314-87-0,Negative,,,Negative,,,,,,
,"2,2'-Dihydroxy-4-methoxybenzophenone",DTXSID3022403,131-53-3,Positive,,,,,,,,,
"TR-597, TR-E02186.01, TR-E02187.01",2-Hydroxy-4-methoxybenzophenone,DTXSID3022405,131-57-7,Weakly Positive; Negative; Negative,,,Negative,Negative,,,,,
,Phosphamidon,DTXSID7021156,13171-21-6,Positive,,,,,,,,,
,C.I. Vat Brown 3,DTXSID2026282,131-92-0,Negative,,,,,,,,,
TR-550,Cresols,DTXSID3024364,1319-77-3,Negative; Negative,,,Negative,Negative,,,,,
TR-534,Divinylbenzene,DTXSID2025216,1321-74-0,Negative; Negative; Negative,,,Negative,Negative,,,,,
,Methyl naphthalene,DTXSID9020877,1321-94-4,Negative,,,,,,,,,
,Pheniramine maleate,DTXSID0025866,132-20-7,Negative; Negative,,,,,,,,,
,"2-Biphenylol, sodium salt",DTXSID2021153,132-27-4,Negative,,,,,,,,,
,C.I. Direct Yellow 11,DTXSID8025206,1325-37-7,Positive; Negative,,,,,,,,,
,C.I. Pigment Violet 1,DTXSID3025918,1326-03-0,Negative; Negative,,,,,,,,,
,Dibenzofuran,DTXSID2021993,132-64-9,Negative,,,,,,,,,
,2-Pentenenitrile,DTXSID6025850,13284-42-9,Negative; Negative,,,,,,,,,
,C.I. Phthalocyanine green,DTXSID8025911,1328-53-6,Positive,,,,,,,,,
TR-336,Penicillin VK,DTXSID7021102,132-98-9,Negative,,,,,,,,,
TR-327,Xylenes (mixed),DTXSID2021446,1330-20-7,Negative,,,,,,,,,
TR-015,Captan,DTXSID9020243,133-06-2,Positive,,,,,,,,,
TR-433,Tricresyl Phosphate,DTXSID4021391,1330-78-5,Negative; Negative,,,,,,,,,
,Phenethyl anthranilate,DTXSID5025861,133-18-6,Negative,,,,,,,,,
,N-Ethyl-N-butylamine,DTXSID6025276,13360-63-9,Negative,,,,,,,,,
,Photodieldrin,DTXSID4020454,13366-73-9,Positive,,,,,,,,,
,Methyl ethyl ketone peroxide,DTXSID1024671,1338-23-4,Positive; Negative,,,Negative,Negative,,,,,
TR-025,Chloramben,DTXSID2020262,133-90-4,Positive,,,,,,,,,
,Methyl anthranilate,DTXSID6025567,134-20-3,Negative,,,,,,,,,
TR-089,o-Anisidine hydrochloride,DTXSID8020092,134-29-2,,,,Negative,,,,,,
,8-Hydroxyquinoline sulfate,DTXSID6025436,134-31-6,Positive,,,,,,,,,
,1-Naphthylamine,DTXSID7020920,134-32-7,Positive,,,,,,,,,
,Sodium aluminosilicate,DTXSID7026021,1344-00-9,Negative,,,,,,,,,
,"N,N-Diethyl-m-toluamide",DTXSID2021995,134-62-3,Negative,,,,,,,,,
,Zinc pyrithione,DTXSID7026314,13463-41-7,Negative; Negative,,,,,,,,,
TR-097,Titanium dioxide,DTXSID3021352,13463-67-7,Negative,,,Positive,,,,,,
,3TC (AIDS initiative),DTXSID7023194,134678-17-4,Negative; Negative,,,,,,,,,
TR-307,Ephedrine sulfate,DTXSID6020565,134-72-5,Negative,,,,,,,,,
,D & C red no. 27,DTXSID2031089,13473-26-2,Positive,,,,,,,,,
,2-Methyl-6-nitrobenzoic acid,DTXSID7025639,13506-76-8,Positive,,,,,,,,,
TR-100,Cupferron,DTXSID1020352,135-20-6,Positive,,,,,,,,,
,Methapyrilene hydrochloride,DTXSID0020818,135-23-9,Negative,,,,,,,,,
,Mono-sec-butanolamine,DTXSID8025676,13552-21-1,Negative,,,,,,,,,
TR-248,"4,4'-Methylenedianiline dihydrochloride",DTXSID9020871,13552-44-8,Positive; Positive,,,,,,,,,
,"2',2'''-Dithiobisbenzanilide",DTXSID7041629,135-57-9,Negative,,,,,,,,,
TR-333,N-Phenyl-2-naphthylamine,DTXSID4021131,135-88-6,Negative,,,,,,,,,
,"2',3',4'-Trichloroacetophenone",DTXSID2022256,13608-87-2,Positive,,,,,,,,,
,Diazoaminobenzene,DTXSID9024934,136-35-6,Positive,,,Positive; Positive,,,,,,
TR-099,Phenazopyridine hydrochloride,DTXSID1021118,136-40-3,Positive; Equivocal,,,,,,,,,
,"2,5-Pyridinedicarboxylic Acid, Dipropyl Ester",DTXSID8032544,136-45-8,,,,,,,Negative,,,
,Tris(Chloropropyl) Phosphate (TCPP),DTXSID201016652,13674-84-5,Negative; Negative,Negative,Negative,Positive,Negative,,,,,
,"tris(1,3-Dichloro-2-propyl) phosphate",DTXSID9026261,13674-87-8,Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive,,,,,,,,,
TR-330,4-Hexylresorcinol,DTXSID1020699,136-77-6,Negative; Negative,Negative,,Positive,,,,,,
,3-((Methoxycarbonyl)amino)phenyl N-(3-methylphenyl)carbamate (phenmedipham),DTXSID1024255,13684-63-4,Positive,,,,,,,,,
,2-Aminobenzothiazole,DTXSID1024467,136-95-8,Negative,,,,,,,,,
,Methyl 2-cyanoacrylate,DTXSID4025589,137-05-3,Positive,,,,,,,,,
TR-401,"2,4-Diaminophenol dihydrochloride",DTXSID9020401,137-09-7,Positive,,,,,,,,,
TR-160,"2,4,5-Trimethylaniline",DTXSID9021398,137-17-7,Positive,,,,,,,,,
,Sodium Metavanadate,DTXSID3044336,13718-26-8,Negative,,,,,,,,,
,Sodium orthovanadate,DTXSID2037269,13721-39-6,Negative,,,,,,,,,
,Tetramethylthiouram disulfide,DTXSID5021332,137-26-8,Positive,,,,,,,,,
TR-238,Ziram,DTXSID0021464,137-30-4,Positive,,,,,,,,,
,Potassium ferricyanide,DTXSID9031939,13746-66-2,Negative,,,,,,,,,
,Calcium chromate,DTXSID0024717,13765-19-0,Weakly Positive; Positive; Positive; Positive; Positive; Equivocal,,,,,,,,,
,bis(2-Ethylhexyl)isophthalate,DTXSID7024619,137-89-3,Negative,,,,,,,,,
,Shikimic acid,DTXSID4032039,138-59-0,Equivocal,,,,,,,,,
,"N,N-Dimethyl-p-nitrosoaniline",DTXSID7025138,138-89-6,Positive,,,,,,,,,
,S-(n-propyl)chlorothioformic acid,DTXSID8025963,13889-92-4,Positive,,,,,,,,,
TR-006,Nitrilotriacetic acid (NTA),DTXSID6020939,139-13-9,Negative,,,,,,,,,
,Annatto,DTXSID7024534,1393-63-1,Positive; Positive; Positive,,,,,,,,,
,sec-Butylamine,DTXSID4022284,13952-84-6,Negative,,,,,,,,,
TR-047,"4,4'-Thiodianiline",DTXSID9021344,139-65-1,Positive,,,,,,,,,
,Amphotericin B,DTXSID9022601,1397-89-3,Negative,,,,,,,,,
,Wollastonite calcium silicates,DTXSID0024719,13983-17-0,Negative,,,,,,,,,
TR-146,Nithiazide,DTXSID1020936,139-94-6,Positive,,,,,,,,,
,tris(2-Chloroethyl) phosphite,DTXSID0026258,140-08-9,Weakly Positive; Equivocal,,,,,,,,,
"TR-250, TR-431",Benzyl acetate,DTXSID0020151,140-11-4,Negative,,,Negative; Negative,Negative,,,,,
,Tannic acid,DTXSID2026076,1401-55-4,Weakly Positive,,,,,,,,,
,Phenylacetonitrile,DTXSID2021492,140-29-4,Negative; Negative,,,,,,,,,
TR-558,"3,3',4,4'-Tetrachloroazobenzene",DTXSID6026086,14047-09-7,Positive; Negative; Negative,,,Positive; Negative,Positive,,,,,
